"Source:","C:\Users\Ben\Desktop\MultiSpectLED\MultiSpectLED.sch"
"Date:","02/19/22 12:57:11"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","102"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Part Number"
"","","C1","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C2","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C3","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C4","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C5","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C6","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C7","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C8","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C9","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C10","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C11","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C12","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C13","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C14","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C15","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C16","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C17","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C18","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C19","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C20","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C21","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C22","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C23","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C24","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C25","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C26","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C27","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C28","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C29","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","C30","C","MultiSpectLED:C","MultiSpectLED:C_0805_2012Metric","~","490-3886-1-ND"
"","","D1","470nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1029-1-ND"
"","","D2","448nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1038-1-ND"
"","","D3","280nm","MultiSpectLED:LED_PAD","MultiSpectLED:Luminus_XBT3535","~","1214-XBT-3535-UV-A130-CD270-00CT-ND"
"","","D4","405nm","MultiSpectLED:LED_PAD_ANODE_MARKED","MultiSpectLED:Everlight_ELUA3535","~","1080-1620-1-ND"
"","","D5","367nm","MultiSpectLED:LED_PAD","MultiSpectLED:SeoulViosys_CUN6GF1A","~","2112-CUN6GF1ACT-ND"
"","","D6","505nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1031-1-ND"
"","","D7","530nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1036-1-ND"
"","","D8","568nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1185-1-ND"
"","","D9","591nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1027-1-ND"
"","","D10","617nm","MultiSpectLED:LED_PAD","MultiSpectLED:LuxeonRebelColor","~","1416-1026-1-ND"
